# run_id=batch-20260505_234139-1058703 generated_at=2026-05-05T23:41:39+08:00
2026-05-06T00:41:59+08:00	task_id=task-001	idx=1	status=TIMED_OUT	result=failed	rc=124	url=https://github.com/emissary-ingress/emissary	target_json={"url":"https://github.com/emissary-ingress/emissary"}
2026-05-06T02:05:55+08:00	task_id=task-003	idx=3	status=ABORTED	result=failed	rc=1	url=https://github.com/mailcow/mailcow-dockerized	target_json={"url":"https://github.com/mailcow/mailcow-dockerized"}
2026-05-06T02:06:59+08:00	task_id=task-004	idx=4	status=ABORTED	result=failed	rc=1	url=https://github.com/knadh/listmonk	target_json={"url":"https://github.com/knadh/listmonk"}
2026-05-06T02:07:58+08:00	task_id=task-005	idx=5	status=ABORTED	result=failed	rc=1	url=https://github.com/Mailu/Mailu	target_json={"url":"https://github.com/Mailu/Mailu"}
2026-05-06T02:08:58+08:00	task_id=task-006	idx=6	status=ABORTED	result=failed	rc=1	url=https://github.com/iredmail/iRedMail	target_json={"url":"https://github.com/iredmail/iRedMail"}
2026-05-06T02:09:58+08:00	task_id=task-007	idx=7	status=ABORTED	result=failed	rc=1	url=https://github.com/modoboa/modoboa	target_json={"url":"https://github.com/modoboa/modoboa"}
2026-05-06T02:11:01+08:00	task_id=task-008	idx=8	status=ABORTED	result=failed	rc=1	url=https://github.com/mail-in-a-box/mailinabox	target_json={"url":"https://github.com/mail-in-a-box/mailinabox"}
2026-05-06T02:11:59+08:00	task_id=task-009	idx=9	status=ABORTED	result=failed	rc=1	url=https://github.com/analogic/poste.io	target_json={"url":"https://github.com/analogic/poste.io"}
2026-05-06T02:12:59+08:00	task_id=task-010	idx=10	status=ABORTED	result=failed	rc=1	url=https://github.com/docker-mailserver/docker-mailserver	target_json={"url":"https://github.com/docker-mailserver/docker-mailserver"}
2026-05-06T02:13:58+08:00	task_id=task-011	idx=11	status=ABORTED	result=failed	rc=1	url=https://github.com/zextras/carbonio-ce	target_json={"url":"https://github.com/zextras/carbonio-ce"}
2026-05-06T02:15:02+08:00	task_id=task-012	idx=12	status=ABORTED	result=failed	rc=1	url=https://github.com/grommunio	target_json={"url":"https://github.com/grommunio"}
2026-05-06T02:16:02+08:00	task_id=task-013	idx=13	status=ABORTED	result=failed	rc=1	url=https://github.com/vdukhovni/postfix	target_json={"url":"https://github.com/vdukhovni/postfix"}
2026-05-06T02:17:00+08:00	task_id=task-014	idx=14	status=ABORTED	result=failed	rc=1	url=https://github.com/haraka/Haraka	target_json={"url":"https://github.com/haraka/Haraka"}
2026-05-06T02:17:59+08:00	task_id=task-015	idx=15	status=ABORTED	result=failed	rc=1	url=https://github.com/OpenSMTPD/OpenSMTPD	target_json={"url":"https://github.com/OpenSMTPD/OpenSMTPD"}
2026-05-06T02:18:59+08:00	task_id=task-016	idx=16	status=ABORTED	result=failed	rc=1	url=https://github.com/Zimbra/zm-mailbox	target_json={"url":"https://github.com/Zimbra/zm-mailbox"}
2026-05-06T02:19:55+08:00	task_id=task-017	idx=17	status=ABORTED	result=failed	rc=1	url=https://github.com/sendmail/sendmail	target_json={"url":"https://github.com/sendmail/sendmail"}
2026-05-06T02:21:08+08:00	task_id=task-018	idx=18	status=ABORTED	result=failed	rc=1	url=https://github.com/the-djmaze/snappymail	target_json={"url":"https://github.com/the-djmaze/snappymail"}
2026-05-06T02:22:08+08:00	task_id=task-019	idx=19	status=ABORTED	result=failed	rc=1	url=https://github.com/RainLoop/rainloop-webmail	target_json={"url":"https://github.com/RainLoop/rainloop-webmail"}
2026-05-06T02:23:08+08:00	task_id=task-020	idx=20	status=ABORTED	result=failed	rc=1	url=https://github.com/Alinto/sogo	target_json={"url":"https://github.com/Alinto/sogo"}
